"Num","Name","P1","P2","P3","P4","P5","P6","Total","Rank","Percentile","Prize","Year"
57,"Artūrs Verza",0,6,0,6,2,0,14,220,54.18%,"Bronze medal",2002
58,"Agnis Liukis",7,1,0,3,0,0,11,266,44.56%,"Honourable mention",2002
59,"Rihards Opmanis",0,0,0,7,1,2,10,281,41.42%,"Honourable mention",2002
60,"Valts Sondors",0,0,0,0,2,0,2,410,14.44%,,2002
61,"Artūrs Verza",7,1,0,7,1,0,16,138,69.96%,"Bronze medal",2003
62,"Pēteris Grīviņš",2,2,0,7,1,0,12,211,53.95%,"Honourable mention",2003
63,"Edgars Jākobsons",7,1,0,3,0,0,11,231,49.56%,"Honourable mention",2003
64,"Normunds Blumbergs",2,0,0,2,0,0,4,363,20.61%,"",2003
65,"Agnese Griņēviča",0,1,0,3,0,0,4,363,20.61%,"",2003
66,"Agnis Liukis",2,1,0,0,0,0,3,386,15.57%,,2003
67,"Artūrs Verza",7,3,0,7,0,3,20,169,65.36%,"Bronze medal",2004
68,"Ilja Tjurins",7,1,0,7,0,0,15,244,49.90%,"Honourable mention",2004
69,"Elvijs Sarkans",7,0,0,1,2,0,10,316,35.05%,"Honourable mention",2004
70,"Edgars Jākobsons",6,1,1,0,2,0,10,316,35.05%,"",2004
71,"Rūdolfs Kreicbergs",2,1,0,3,0,0,6,382,21.44%,"",2004
72,"Andis Orbidāns",0,1,0,1,0,0,2,437,10.10%,,2004
73,"Edgars Jākobsons",1,7,0,7,0,7,22,122,76.37%,"Bronze medal",2005
74,"Elvijs Sarkans",1,1,0,7,0,3,12,243,52.73%,"Bronze medal",2005
75,"Guntars Kitenbergs",2,1,0,7,0,0,10,261,49.22%,"Honourable mention",2005
76,"Madars Virza",1,1,0,7,0,0,9,277,46.09%,"Honourable mention",2005
77,"Rūdolfs Kreicbergs",0,2,0,1,0,3,6,328,36.13%,"",2005
78,"Vladimirs Murevičs",0,0,0,1,2,0,3,368,28.32%,,2005
79,"Rūdolfs Kreicbergs",7,1,0,4,1,5,18,132,73.64%,"Bronze medal",2006
80,"Elvijs Sarkans",1,7,0,7,0,0,15,189,62.17%,"Bronze medal",2006
81,"Vladimirs Murevičs",7,1,0,7,0,0,15,189,62.17%,"Bronze medal",2006
82,"Madars Virza",5,1,0,7,0,0,13,291,41.65%,"Honourable mention",2006
83,"Artūrs Bačkurs",7,4,0,0,0,0,11,319,36.02%,"Honourable mention",2006
84,"Vadims Daļeckis",0,1,0,2,0,0,3,448,10.06%,,2006
85,"Madars Virza",3,1,0,7,1,0,12,266,48.94%,"Honourable mention",2007
86,"Artūrs Bačkurs",4,0,0,7,1,0,12,266,48.94%,"Honourable mention",2007
87,"Vladimirs Murevičs",4,0,0,7,1,0,12,266,48.94%,"Honourable mention",2007
88,"Mārtiņš Kokainis",3,0,0,7,0,0,10,322,38.15%,"Honourable mention",2007
89,"Nikolajs Zikovs",1,0,0,6,0,0,7,402,22.74%,"",2007
90,"Indra Niedre",3,1,0,1,0,0,5,440,15.41%,,2007
91,"Artūrs Bačkurs",7,7,2,7,1,0,24,107,80.15%,"Silver medal",2008
92,"Indra Niedre",5,1,0,4,0,0,10,337,37.08%,"",2008
93,"Pēteris Eriņš",1,1,0,7,0,0,9,346,35.39%,"Honourable mention",2008
94,"Krišjānis Prūsis",1,0,0,7,0,0,8,368,31.27%,"Honourable mention",2008
95,"Monta Ozoliņa",1,0,0,4,0,0,5,424,20.79%,"",2008
96,"Arnis Katkevičs",0,1,0,1,0,0,2,479,10.49%,,2008
