"respID","shape","ranges","rLaimNelaim","rCerIzmis","rUztrMier","rBrivIerob","rApmAizkait","rInterGarl","rPatNepat"
"150","36591521","11","3,0,100,73,0,0,0","3","0","100","73","0","0","0"
"151","36591521","13","0,6,81,0,0,65,29","0","6","81","0","0","65","29"
"152","36591521","15","10,0,69,4,12,8,3","10","0","69","4","12","8","3"
"153","36591521","16","0,5,69,49,0,0,0","0","5","69","49","0","0","0"
"154","36593041","1","100,0,0,100,0,100,100","100","0","0","100","0","100","100"
"155","36593041","5","70,0,100,80,0,100,50","70","0","100","80","0","100","50"
"156","36593041","9","70,50,53,50,71,82,100","70","50","53","50","71","82","100"
"157","36593041","11","0,0,100,0,0,0,0","0","0","100","0","0","0","0"
"158","36593041","13","50,0,100,100,0,100,50","50","0","100","100","0","100","50"
"159","36593041","14","0,0,30,30,0,0,0","0","0","30","30","0","0","0"
"160","36593041","17","40,75,30,0,30,0,0","40","75","30","0","30","0","0"
"161","36593201","1","100,88,17,82,93,50,70","100","88","17","82","93","50","70"
"162","36593201","2","77,60,82,77,85,84,100","77","60","82","77","85","84","100"
"163","36593201","4","5,8,51,4,5,10,5","5","8","51","4","5","10","5"
"164","36593201","6","9,11,100,52,12,47,9","9","11","100","52","12","47","9"
"165","36593201","7","70,62,13,9,68,13,74","70","62","13","9","68","13","74"
"166","36593201","11","9,74,90,67,44,99,10","9","74","90","67","44","99","10"
"167","36593201","14","11,9,8,4,24,28,32","11","9","8","4","24","28","32"
"168","36593201","15","73,52,81,87,44,72,27","73","52","81","87","44","72","27"
"169","36606637","3","50,50,0,100,50,0,50","50","50","0","100","50","0","50"
"170","36606637","5","0,0,0,0,10,10,0","0","0","0","0","10","10","0"
"171","36606637","9","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"172","36606637","10","50,50,50,100,0,100,100","50","50","50","100","0","100","100"
"173","36606637","11","100,100,100,100,1,100,100","100","100","100","100","1","100","100"
"174","36606637","14","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"175","36606637","15","100,50,50,100,100,50,100","100","50","50","100","100","50","100"
"176","36640279","2","60,56,52,63,72,53,64","60","56","52","63","72","53","64"
"177","36640279","3","71,78,48,88,93,85,65","71","78","48","88","93","85","65"
"178","36640279","5","20,6,31,54,64,34,35","20","6","31","54","64","34","35"
"179","36640279","6","53,31,54,53,20,69,31","53","31","54","53","20","69","31"
"180","36640279","8","9,22,40,55,27,40,54","9","22","40","55","27","40","54"
"181","36640279","10","51,34,69,78,52,71,50","51","34","69","78","52","71","50"
"182","36640279","11","62,50,100,69,31,100,0","62","50","100","69","31","100","0"
"183","36640279","14","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"184","36640549","1","80,30,50,60,70,60,70","80","30","50","60","70","60","70"
"185","36640549","2","70,70,50,100,60,90,100","70","70","50","100","60","90","100"
"186","36640549","6","50,50,50,50,20,25,50","50","50","50","50","20","25","50"
"187","36640549","7","50,50,0,0,60,0,80","50","50","0","0","60","0","80"
"188","36640549","9","0,0,50,0,0,0,0","0","0","50","0","0","0","0"
"189","36640549","15","50,0,100,75,0,50,20","50","0","100","75","0","50","20"
"190","36642697","2","5,15,90,15,15,80,15","5","15","90","15","15","80","15"
"191","36642697","3","50,25,25,10,85,10,15","50","25","25","10","85","10","15"
"192","36642697","8","5,5,5,5,50,5,5","5","5","5","5","50","5","5"
"193","36642697","11","15,15,15,60,15,60,80","15","15","15","60","15","60","80"
"194","36642697","14","70,10,75,90,90,10,90","70","10","75","90","90","10","90"
"195","36642697","15","80,80,20,20,70,20,50","80","80","20","20","70","20","50"
"196","36642697","16","80,50,80,25,20,15,50","80","50","80","25","20","15","50"
"197","36642697","17","50,50,90,90,10,90,70","50","50","90","90","10","90","70"
"198","36649055","2","100,75,0,100,100,50,70","100","75","0","100","100","50","70"
"199","36649055","5","35,22,84,16,0,100,25","35","22","84","16","0","100","25"
"200","36649055","7","80,16,20,0,48,100,64","80","16","20","0","48","100","64"
"201","36649055","8","25,0,0,100,0,81,50","25","0","0","100","0","81","50"
"202","36649055","11","0,1,100,13,0,79,0","0","1","100","13","0","79","0"
"203","36649055","13","78,68,55,73,78,71,88","78","68","55","73","78","71","88"
"204","36649055","16","50,50,100,0,0,100,0","50","50","100","0","0","100","0"
"205","36649055","17","50,0,40,20,100,0,63","50","0","40","20","100","0","63"
"206","36742362","1","5,20,20,50,30,30,1","5","20","20","50","30","30","1"
"207","36742362","4","10,20,100,20,10,30,10","10","20","100","20","10","30","10"
"208","36742362","6","70,80,70,80,70,70,70","70","80","70","80","70","70","70"
"209","36742362","7","80,70,40,100,60,20,100","80","70","40","100","60","20","100"
"210","36742362","9","10,10,100,10,20,10,15","10","10","100","10","20","10","15"
"211","36742362","10","50,50,50,50,30,50,50","50","50","50","50","30","50","50"
"212","36742362","13","50,50,10,80,15,50,70","50","50","10","80","15","50","70"
"213","36742362","15","30,25,30,50,50,30,25","30","25","30","50","50","30","25"
"214","36742362","17","50,75,10,50,100,40,30","50","75","10","50","100","40","30"
"215","36752817","3","7,28,4,8,47,2,7","7","28","4","8","47","2","7"
"216","36752817","6","6,32,89,48,49,55,47","6","32","89","48","49","55","47"
"217","36752817","7","5,8,11,9,11,4,12","5","8","11","9","11","4","12"
"218","36752817","9","48,50,44,31,51,75,45","48","50","44","31","51","75","45"
"219","36752817","11","50,44,85,28,32,50,50","50","44","85","28","32","50","50"
"220","36752817","14","5,22,82,14,26,30,28","5","22","82","14","26","30","28"
"221","36752817","15","42,40,67,50,5,50,50","42","40","67","50","5","50","50"
"222","36752817","16","22,22,78,11,13,71,20","22","22","78","11","13","71","20"
"223","r31","1","53,54,55,100,56,78,56","53","54","55","100","56","78","56"
"224","r31","8","82,52,17,2,81,17,51","82","52","17","2","81","17","51"
"225","r31","10","100,0,100,99,0,52,0","100","0","100","99","0","52","0"
"226","r31","11","53,0,100,100,53,0,0","53","0","100","100","53","0","0"
"227","r31","14","0,0,100,100,49,0,0","0","0","100","100","49","0","0"
"228","r31","15","0,0,100,100,0,0,0","0","0","100","100","0","0","0"
"229","r31","17","22,99,0,99,0,0,56","22","99","0","99","0","0","56"
"230","r32","1","84,58,50,60,84,50,84","84","58","50","60","84","50","84"
"231","r32","8","88,87,88,87,87,87,88","88","87","88","87","87","87","88"
"232","r32","9","11,11,14,10,13,12,10","11","11","14","10","13","12","10"
"233","r32","10","50,63,55,79,54,62,61","50","63","55","79","54","62","61"
"234","r32","11","10,10,10,10,11,11,10","10","10","10","10","11","11","10"
"235","r32","14","9,9,7,9,9,9,10","9","9","7","9","9","9","10"
"236","r32","16","76,72,75,77,24,79,24","76","72","75","77","24","79","24"
"237","r33","1","4,5,4,4,4,4,91","4","5","4","4","4","4","91"
"238","r33","6","5,2,44,4,4,2,5","5","2","44","4","4","2","5"
"239","r33","8","5,90,3,6,5,4,4","5","90","3","6","5","4","4"
"240","r33","11","4,4,5,99,4,4,4","4","4","5","99","4","4","4"
"241","r33","15","1,1,74,1,1,1,1","1","1","74","1","1","1","1"
"242","r33","17","97,3,4,3,3,4,4","97","3","4","3","3","4","4"
"243","r34","1","90,60,20,15,80,0,80","90","60","20","15","80","0","80"
"244","r34","6","0,0,100,60,0,60,40","0","0","100","60","0","60","40"
"245","r34","8","60,40,0,0,85,0,55","60","40","0","0","85","0","55"
"246","r34","13","50,50,100,60,0,65,50","50","50","100","60","0","65","50"
"247","r34","14","45,0,40,60,0,25,50","45","0","40","60","0","25","50"
"248","r34","16","55,60,25,0,40,45,50","55","60","25","0","40","45","50"
"249","r34","17","60,65,25,10,100,0,50","60","65","25","10","100","0","50"
"250","r35","1","60,51,52,79,61,42,60","60","51","52","79","61","42","60"
"251","r35","6","24,47,33,2,78,100,38","24","47","33","2","78","100","38"
"252","r35","8","42,100,1,2,100,2,52","42","100","1","2","100","2","52"
"253","r35","9","65,15,26,29,91,53,43","65","15","26","29","91","53","43"
"254","r35","10","50,49,100,100,54,91,49","50","49","100","100","54","91","49"
"255","r35","13","45,18,44,82,23,78,24","45","18","44","82","23","78","24"
"256","r35","14","11,3,100,50,7,2,1","11","3","100","50","7","2","1"
"257","r35","16","100,100,99,61,96,89,91","100","100","99","61","96","89","91"
"258","r36","1","79,100,24,86,93,19,100","79","100","24","86","93","19","100"
"259","r36","6","3,17,62,23,4,45,12","3","17","62","23","4","45","12"
"260","r36","7","61,93,2,86,77,0,78","61","93","2","86","77","0","78"
"261","r36","10","50,35,72,50,29,91,51","50","35","72","50","29","91","51"
"262","r36","14","4,6,8,7,39,0,18","4","6","8","7","39","0","18"
"263","r36","16","50,25,94,0,0,60,7","50","25","94","0","0","60","7"
"264","r36","17","92,99,14,85,89,0,62","92","99","14","85","89","0","62"
"265","r37","1","12,28,41,22,50,29,21","12","28","41","22","50","29","21"
"266","r37","8","58,84,37,76,87,69,89","58","84","37","76","87","69","89"
"267","r37","9","37,0,59,23,39,50,34","37","0","59","23","39","50","34"
"268","r37","10","8,7,100,36,12,9,24","8","7","100","36","12","9","24"
"269","r37","11","1,3,100,5,3,4,5","1","3","100","5","3","4","5"
"270","r37","14","35,35,49,59,85,71,100","35","35","49","59","85","71","100"
"271","r37","16","81,61,50,62,52,51,65","81","61","50","62","52","51","65"
"272","r37","17","77,78,28,86,92,49,80","77","78","28","86","92","49","80"
"273","r38","1","64,72,50,100,50,65,51","64","72","50","100","50","65","51"
"274","r38","6","24,34,100,23,21,35,19","24","34","100","23","21","35","19"
"275","r38","8","16,20,36,9,7,15,20","16","20","36","9","7","15","20"
"276","r38","9","94,57,78,87,49,86,71","94","57","78","87","49","86","71"
"277","r38","10","52,51,44,82,57,78,66","52","51","44","82","57","78","66"
"278","r38","11","35,38,64,51,51,70,51","35","38","64","51","51","70","51"
"279","r38","15","50,48,74,22,46,83,58","50","48","74","22","46","83","58"
"280","r38","17","55,80,35,14,68,24,51","55","80","35","14","68","24","51"
"281","r39","1","85,50,49,82,55,87,86","85","50","49","82","55","87","86"
"282","r39","7","87,86,52,18,88,88,85","87","86","52","18","88","88","85"
"283","r39","9","91,18,14,16,14,52,9","91","18","14","16","14","52","9"
"284","r39","10","93,19,16,12,17,14,88","93","19","16","12","17","14","88"
"285","r39","11","94,92,91,92,87,95,94","94","92","91","92","87","95","94"
"286","r39","15","91,92,51,88,91,91,96","91","92","51","88","91","91","96"
"287","r39","16","54,84,85,50,85,53,49","54","84","85","50","85","53","49"
"288","r40","6","13,4,30,34,28,34,46","13","4","30","34","28","34","46"
"289","r40","8","1,1,5,1,1,2,1","1","1","5","1","1","2","1"
"290","r40","9","5,8,89,8,12,7,18","5","8","89","8","12","7","18"
"291","r40","11","5,4,7,6,8,7,4","5","4","7","6","8","7","4"
"292","r40","15","4,6,7,43,9,1,50","4","6","7","43","9","1","50"
"293","r40","16","62,76,79,78,82,83,71","62","76","79","78","82","83","71"
"294","r41","1","100,100,41,50,100,26,100","100","100","41","50","100","26","100"
"295","r41","8","100,100,5,46,100,39,100","100","100","5","46","100","39","100"
"296","r41","9","63,100,12,53,79,28,100","63","100","12","53","79","28","100"
"297","r41","10","100,100,100,100,100,100,100","100","100","100","100","100","100","100"
"298","r41","11","48,14,34,26,16,51,26","48","14","34","26","16","51","26"
"299","r41","13","9,9,10,12,11,9,8","9","9","10","12","11","9","8"
"300","r41","14","19,12,7,17,7,8,12","19","12","7","17","7","8","12"
"301","r42","1","35,41,40,23,37,70,23","35","41","40","23","37","70","23"
"302","r42","6","23,17,25,53,27,33,26","23","17","25","53","27","33","26"
"303","r42","7","69,60,45,82,86,51,68","69","60","45","82","86","51","68"
"304","r42","8","35,55,30,80,100,29,100","35","55","30","80","100","29","100"
"305","r42","11","27,1,100,25,1,45,1","27","1","100","25","1","45","1"
"306","r42","14","95,94,7,100,86,96,71","95","94","7","100","86","96","71"
"307","r42","15","1,1,100,67,1,24,1","1","1","100","67","1","24","1"
"308","r42","16","2,2,70,18,1,7,1","2","2","70","18","1","7","1"
"309","r43","1","77,50,24,76,50,49,22","77","50","24","76","50","49","22"
"310","r43","6","22,2,86,0,21,53,53","22","2","86","0","21","53","53"
"311","r43","8","46,51,49,0,0,0,49","46","51","49","0","0","0","49"
"312","r43","9","53,51,50,2,19,0,47","53","51","50","2","19","0","47"
"313","r43","11","50,47,97,49,51,100,50","50","47","97","49","51","100","50"
"314","r43","14","0,20,0,50,26,20,0","0","20","0","50","26","20","0"
"315","r43","16","47,76,73,44,49,98,78","47","76","73","44","49","98","78"
"316","r43","17","46,49,29,0,76,23,17","46","49","29","0","76","23","17"
"317","r44","6","1,3,83,31,22,92,66","1","3","83","31","22","92","66"
"318","r44","13","2,1,41,28,3,7,14","2","1","41","28","3","7","14"
"319","r44","14","3,9,47,57,8,62,41","3","9","47","57","8","62","41"
"320","r44","15","2,7,44,55,11,79,3","2","7","44","55","11","79","3"
"321","r44","16","1,1,46,42,24,13,67","1","1","46","42","24","13","67"
"322","r44","17","11,6,55,50,2,1,71","11","6","55","50","2","1","71"
"323","r45","1","0,0,0,100,0,0,0","0","0","0","100","0","0","0"
"324","r45","6","0,0,100,0,0,0,0","0","0","100","0","0","0","0"
"325","r45","8","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"326","r45","10","0,0,100,100,0,100,0","0","0","100","100","0","100","0"
"327","r45","11","100,0,100,100,0,100,0","100","0","100","100","0","100","0"
"328","r45","13","0,0,100,100,100,100,100","0","0","100","100","100","100","100"
"329","r45","14","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"330","r46","1","0,0,100,0,0,100,100","0","0","100","0","0","100","100"
"331","r46","8","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"332","r46","9","67,46,64,75,65,84,77","67","46","64","75","65","84","77"
"333","r46","14","0,0,33,0,0,0,0","0","0","33","0","0","0","0"
"334","r46","15","0,0,100,0,0,50,0","0","0","100","0","0","50","0"
"335","r46","16","50,50,50,50,50,100,84","50","50","50","50","50","100","84"
"336","r46","17","31,12,0,22,0,0,0","31","12","0","22","0","0","0"
"337","r47","1","100,100,20,100,100,20,80","100","100","20","100","100","20","80"
"338","r47","6","0,0,100,100,0,0,10","0","0","100","100","0","0","10"
"339","r47","7","0,0,0,0,26,0,21","0","0","0","0","26","0","21"
"340","r47","8","0,50,0,0,70,0,70","0","50","0","0","70","0","70"
"341","r47","9","80,80,0,20,50,80,80","80","80","0","20","50","80","80"
"342","r47","10","50,50,90,100,10,70,50","50","50","90","100","10","70","50"
"343","r47","11","20,0,100,79,50,80,50","20","0","100","79","50","80","50"
"344","r47","13","0,0,100,100,49,20,20","0","0","100","100","49","20","20"
"345","r47","14","0,0,0,80,0,0,0","0","0","0","80","0","0","0"
"346","r47","17","30,20,0,0,70,0,30","30","20","0","0","70","0","30"
"347","r48","1","64,16,27,56,61,25,63","64","16","27","56","61","25","63"
"348","r48","7","7,8,18,16,9,8,12","7","8","18","16","9","8","12"
"349","r48","10","69,69,34,91,69,68,86","69","69","34","91","69","68","86"
"350","r48","13","70,42,61,62,20,97,93","70","42","61","62","20","97","93"
"351","r48","14","19,5,62,26,33,22,70","19","5","62","26","33","22","70"
"352","r48","15","59,41,80,38,14,79,39","59","41","80","38","14","79","39"
"353","r49","6","71,66,28,35,55,85,41","71","66","28","35","55","85","41"
"354","r49","7","40,6,4,35,5,4,7","40","6","4","35","5","4","7"
"355","r49","8","1,4,94,3,5,4,5","1","4","94","3","5","4","5"
"356","r49","9","5,7,98,5,97,3,4","5","7","98","5","97","3","4"
"357","r49","10","33,89,33,92,69,11,33","33","89","33","92","69","11","33"
"358","r49","11","11,14,73,78,63,24,28","11","14","73","78","63","24","28"
"359","r50","6","50,43,65,1,0,34,33","50","43","65","1","0","34","33"
"360","r50","7","0,0,65,78,0,0,0","0","0","65","78","0","0","0"
"361","r50","8","0,0,49,0,70,100,0","0","0","49","0","70","100","0"
